date,portfolio_value,daily_return,daily_log_return,cumulative_return,cumulative_log_return,drawdown,volume_traded,daily_slippage_cost,daily_commission_cost
2024-01-01,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-17,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-18,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-19,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-22,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-23,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-24,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-25,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-26,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-29,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-30,499993.22829581995,-0.00001354340836012824,-0.000013543500072911314,-0.00001354340836012824,-0.000013543500072911314,-0.00001354340836012824,22500.0,2.25,4.521704180064309
2024-01-31,499461.9913585209,-0.001062488264310435,-0.001063053105092913,-0.0010760172829581416,-0.0010765966051658443,-0.0010760172829581416,21975.482315112542,2.1975482315112544,4.521704180064309
2024-02-01,499455.16436032363,-0.000013668704156533096,-0.000013668797574121021,-0.0010896712793527774,-0.0010902654027399761,-0.0010896712793527774,22475.78961113344,2.2475789611133443,4.579419236172257
2024-02-02,499418.1787429989,-0.00007405192690734808,-0.00007405466888665416,-0.001163642514002139,-0.0011643200716265753,-0.001163642514002139,34.67954804547844,0.0034679548045478442,0.3467954804547844
2024-02-05,499132.7887928408,-0.0005714448578472142,-0.0005716081946882903,-0.0017344224143184261,-0.0017359282663149376,-0.0017344224143184261,271.55070745381454,0.027155070745381454,1.0
2024-02-06,499512.4477151691,0.0007606371107107268,0.0007603479729136341,-0.0009751045696617666,-0.0009755802934013918,-0.0009751045696617666,363.61021757753406,0.03636102175775341,1.0
2024-02-07,500077.9149981894,0.0011320384218787005,0.0011313981495474253,0.00015582999637864248,0.0001558178561459487,0.0,541.0745641511821,0.054107456415118216,1.0
2024-02-08,500799.6008642433,0.0014431468465399,0.001442106510914001,0.001599201728486488,0.0015979243670600249,0.0,690.2783585003053,0.06902783585003054,1.0
