Date,BTC-USD_open,BTC-USD_high,BTC-USD_low,BTC-USD_close,BTC-USD_volume,BTC_REWARD,COST_TO_MINE,ETH-USD_open,ETH-USD_high,ETH-USD_low,ETH-USD_close,ETH-USD_volume
2018-03-07,10803.90039,10929.5,9692.120117,9965.570313,8797910016.0,12.5,3774.031,816.2709961,825.6069946,726.5469971,752.8309937,2175419904.0
2018-03-08,9951.44043,10147.40039,9335.870117,9395.009766,7186089984.0,12.5,3815.1157,752.5700073,773.7670288,696.1690063,704.5960083,1891640064.0
2018-03-09,9414.69043,9466.349609,8513.030273,9337.549805,8704190464.0,12.5,3851.0923,702.1970215,729.1560059,648.1069946,728.9160156,2233019904.0
2018-03-10,9350.589844,9531.320313,8828.469727,8866.0,5386319872.0,12.5,3902.3698,730.1599731,748.0310059,682.6950073,686.8900146,1532960000.0
2018-03-11,8852.780273,9711.889648,8607.120117,9578.629883,6296370176.0,12.5,3976.754,685.3120117,735.8309937,668.1229858,723.3389893,1562680064.0
2018-03-12,9602.929688,9937.5,8956.429688,9205.120117,6457399808.0,12.5,4135.1518,724.4060059,742.5139771,683.2680054,699.8309937,1764999936.0
2018-03-13,9173.040039,9470.379883,8958.19043,9194.849609,5991139840.0,12.5,4145.2538,698.1530151,713.7349854,682.3499756,690.8270264,1425959936.0
2018-03-14,9214.650391,9355.849609,8068.589844,8269.80957,6438230016.0,12.5,4125.8146,691.2189941,702.7839966,594.0999756,614.2910156,1810560000.0
2018-03-15,8290.759766,8428.349609,7783.049805,8300.860352,6834429952.0,12.5,4140.3269,614.8389893,620.6160278,579.5050049,611.3040161,1770460032.0
2018-03-16,8322.910156,8585.150391,8005.310059,8338.349609,5289379840.0,12.5,4197.1167,611.7780151,623.1680298,587.8619995,601.6660156,1417350016.0
2018-03-17,8321.910156,8346.530273,7812.819824,7916.879883,4426149888.0,12.5,4258.9215,601.6779785,609.151001,549.0960083,552.7789917,1267810048.0
2018-03-18,7890.52002,8245.509766,7397.990234,8223.679688,6639190016.0,12.5,4211.9985,551.6400146,551.6400146,460.0880127,538.6439819,2685499904.0
2018-03-19,8344.120117,8675.870117,8182.399902,8630.650391,6729110016.0,12.5,4188.7215,546.6259766,558.0999756,519.1229858,556.7260132,2046790016.0
2018-03-20,8619.669922,9051.019531,8389.889648,8913.469727,6361789952.0,12.5,4200.3198,556.7219849,567.0900269,521.2039795,557.1749878,1833680000.0
2018-03-21,8937.480469,9177.370117,8846.330078,8929.280273,6043129856.0,12.5,4221.0683,559.0999756,589.6069946,550.5720215,561.7319946,1781270016.0
2018-03-22,8939.44043,9100.709961,8564.900391,8728.469727,5530390016.0,12.5,4330.0169,562.1030273,577.565979,523.0889893,539.7020264,1523459968.0
2018-03-23,8736.25,8879.620117,8360.620117,8879.620117,5954120192.0,12.5,4294.8441,539.8640137,540.4869995,512.1270142,539.6190186,1596349952.0
2018-03-24,8901.950195,8996.179688,8665.700195,8668.120117,5664600064.0,12.5,4311.5257,542.5720215,545.382019,526.0800171,526.4390259,1300009984.0
2018-03-25,8612.80957,8682.009766,8449.099609,8495.780273,4569880064.0,12.5,4407.0615,522.7030029,535.8209839,515.6589966,524.2869873,1151170048.0
